"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BRA","Brazil","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.7,,
"BRA","Brazil","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,"E","Estimated value"
"BRA","Brazil","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.9,"E","Estimated value"
"BRA","Brazil","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,11487,"E","Estimated value"
"BRA","Brazil","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,7566,"E","Estimated value"
"BRA","Brazil","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"BRA","Brazil","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.81,"E","Estimated value"
"BRA","Brazil","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,10229,"E","Estimated value"
"BRA","Brazil","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,90,,
"BRA","Brazil","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,46,,
"BRA","Brazil","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,402,,
"BRA","Brazil","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,15.6,,
"BRA","Brazil","EQ_AIRP","Air pollution","L","Value","TOT","Total","MICRO_M3","Micrograms per cubic metre","0","Units",,,17,,
"BRA","Brazil","EQ_WATER","Water quality","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"BRA","Brazil","CG_VOTO","Voter turnout","L","Value","TOT","Total","PC","Percentage","0","Units",,,79,,
"BRA","Brazil","HS_LEB","Life expectancy","L","Value","TOT","Total","YR","Years","0","Units",,,75,,
"BRA","Brazil","HS_SFRH","Self-reported health","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,"E","Estimated value"
"BRA","Brazil","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.5,,
"BRA","Brazil","PS_REPH","Homicide rate","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,26.7,,
"BRA","Brazil","WL_EWLH","Employees working very long hours","L","Value","TOT","Total","PC","Percentage","0","Units",,,9.45,,
"BRA","Brazil","WL_TNOW","Time devoted to leisure and personal care","L","Value","TOT","Total","HOUR","Hours","0","Units",,,14.27,"E","Estimated value"
"BRA","Brazil","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.6,,
"BRA","Brazil","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,"E","Estimated value"
"BRA","Brazil","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,39.5,,
