"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.5,,
"FRA","France","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,21,,
"FRA","France","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.8,,
"FRA","France","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29759,,
"FRA","France","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,53851,,
"FRA","France","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,64,,
"FRA","France","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.21,,
"FRA","France","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,40828,,
"FRA","France","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,89,,
"FRA","France","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,75,,
"FRA","France","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,500,,
"FRA","France","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,16.4,,
"FRA","France","EQ_AIRP","Air pollution","L","Value","TOT","Total","MICRO_M3","Micrograms per cubic metre","0","Units",,,14,,
"FRA","France","EQ_WATER","Water quality","L","Value","TOT","Total","PC","Percentage","0","Units",,,84,,
"FRA","France","CG_VOTO","Voter turnout","L","Value","TOT","Total","PC","Percentage","0","Units",,,80,,
"FRA","France","HS_LEB","Life expectancy","L","Value","TOT","Total","YR","Years","0","Units",,,82.3,,
"FRA","France","HS_SFRH","Self-reported health","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,,
"FRA","France","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.4,,
"FRA","France","PS_REPH","Homicide rate","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.6,,
"FRA","France","WL_EWLH","Employees working very long hours","L","Value","TOT","Total","PC","Percentage","0","Units",,,7.77,,
"FRA","France","WL_TNOW","Time devoted to leisure and personal care","L","Value","TOT","Total","HOUR","Hours","0","Units",,,16.36,,
"FRA","France","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.6,,
"FRA","France","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.1,,
"FRA","France","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,70.6,,
