"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"IRL","Ireland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,20,,
"IRL","Ireland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,2,,
"IRL","Ireland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,22969,,
"IRL","Ireland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,31861,,
"IRL","Ireland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,61,,
"IRL","Ireland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.98,,
"IRL","Ireland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,53286,,
"IRL","Ireland","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,95,,
"IRL","Ireland","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,79,,
"IRL","Ireland","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,516,,
"IRL","Ireland","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,17.8,,
"IRL","Ireland","EQ_AIRP","Air pollution","L","Value","TOT","Total","MICRO_M3","Micrograms per cubic metre","0","Units",,,8,,
"IRL","Ireland","EQ_WATER","Water quality","L","Value","TOT","Total","PC","Percentage","0","Units",,,82,,
"IRL","Ireland","CG_VOTO","Voter turnout","L","Value","TOT","Total","PC","Percentage","0","Units",,,70,,
"IRL","Ireland","HS_LEB","Life expectancy","L","Value","TOT","Total","YR","Years","0","Units",,,81.1,,
"IRL","Ireland","HS_SFRH","Self-reported health","L","Value","TOT","Total","PC","Percentage","0","Units",,,82,,
"IRL","Ireland","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.8,,
"IRL","Ireland","PS_REPH","Homicide rate","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.8,,
"IRL","Ireland","WL_EWLH","Employees working very long hours","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.11,,
"IRL","Ireland","WL_TNOW","Time devoted to leisure and personal care","L","Value","TOT","Total","HOUR","Hours","0","Units",,,15.3,"E","Estimated value"
"IRL","Ireland","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,5,,
"IRL","Ireland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,0.8,,
"IRL","Ireland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,77,,
