"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"JPN","Japan","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.4,,
"JPN","Japan","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"JPN","Japan","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"JPN","Japan","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,27323,,
"JPN","Japan","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,92818,,
"JPN","Japan","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"JPN","Japan","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.36,,
"JPN","Japan","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,35672,,
"JPN","Japan","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,91,,
"JPN","Japan","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,94,"E","Estimated value"
"JPN","Japan","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,540,,
"JPN","Japan","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,16,,
"JPN","Japan","EQ_AIRP","Air pollution","L","Value","TOT","Total","MICRO_M3","Micrograms per cubic metre","0","Units",,,16,,
"JPN","Japan","EQ_WATER","Water quality","L","Value","TOT","Total","PC","Percentage","0","Units",,,87,,
"JPN","Japan","CG_VOTO","Voter turnout","L","Value","TOT","Total","PC","Percentage","0","Units",,,53,,
"JPN","Japan","HS_LEB","Life expectancy","L","Value","TOT","Total","YR","Years","0","Units",,,83.4,,
"JPN","Japan","HS_SFRH","Self-reported health","L","Value","TOT","Total","PC","Percentage","0","Units",,,35,,
"JPN","Japan","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,5.9,,
"JPN","Japan","PS_REPH","Homicide rate","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.3,,
"JPN","Japan","WL_EWLH","Employees working very long hours","L","Value","TOT","Total","PC","Percentage","0","Units",,,21.89,"E","Estimated value"
"JPN","Japan","WL_TNOW","Time devoted to leisure and personal care","L","Value","TOT","Total","HOUR","Hours","0","Units",,,14.85,,
"JPN","Japan","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.4,,
"JPN","Japan","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.3,,
"JPN","Japan","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,70.2,,
