"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,4.2,,
"KOR","Korea","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,16,,
"KOR","Korea","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.4,,
"KOR","Korea","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,19372,,
"KOR","Korea","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,30852,"E","Estimated value"
"KOR","Korea","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,65,,
"KOR","Korea","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.01,,
"KOR","Korea","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,36653,,
"KOR","Korea","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"KOR","Korea","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,85,,
"KOR","Korea","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,542,,
"KOR","Korea","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,17.5,,
"KOR","Korea","EQ_AIRP","Air pollution","L","Value","TOT","Total","MICRO_M3","Micrograms per cubic metre","0","Units",,,29,,
"KOR","Korea","EQ_WATER","Water quality","L","Value","TOT","Total","PC","Percentage","0","Units",,,78,,
"KOR","Korea","CG_VOTO","Voter turnout","L","Value","TOT","Total","PC","Percentage","0","Units",,,76,,
"KOR","Korea","HS_LEB","Life expectancy","L","Value","TOT","Total","YR","Years","0","Units",,,81.8,,
"KOR","Korea","HS_SFRH","Self-reported health","L","Value","TOT","Total","PC","Percentage","0","Units",,,35,,
"KOR","Korea","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,5.8,,
"KOR","Korea","PS_REPH","Homicide rate","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.1,,
"KOR","Korea","WL_EWLH","Employees working very long hours","L","Value","TOT","Total","PC","Percentage","0","Units",,,23.12,"E","Estimated value"
"KOR","Korea","WL_TNOW","Time devoted to leisure and personal care","L","Value","TOT","Total","HOUR","Hours","0","Units",,,14.7,,
"KOR","Korea","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,2.1,,
"KOR","Korea","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.4,,
"KOR","Korea","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,67.7,,
