"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ZAF","South Africa","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,20.5,,
"ZAF","South Africa","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,18,,
"ZAF","South Africa","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.7,"E","Estimated value"
"ZAF","South Africa","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,8712,,
"ZAF","South Africa","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,16937,,
"ZAF","South Africa","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,43,,
"ZAF","South Africa","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,14.37,,
"ZAF","South Africa","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,5429,"E","Estimated value"
"ZAF","South Africa","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,90,,
"ZAF","South Africa","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,65,,
"ZAF","South Africa","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,384,"E","Estimated value"
"ZAF","South Africa","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,15.4,"E","Estimated value"
"ZAF","South Africa","EQ_AIRP","Air pollution","L","Value","TOT","Total","MICRO_M3","Micrograms per cubic metre","0","Units",,,14,,
"ZAF","South Africa","EQ_WATER","Water quality","L","Value","TOT","Total","PC","Percentage","0","Units",,,69,,
"ZAF","South Africa","CG_VOTO","Voter turnout","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"ZAF","South Africa","HS_LEB","Life expectancy","L","Value","TOT","Total","YR","Years","0","Units",,,56.8,,
"ZAF","South Africa","HS_SFRH","Self-reported health","L","Value","TOT","Total","PC","Percentage","0","Units",,,67,"E","Estimated value"
"ZAF","South Africa","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,4.9,,
"ZAF","South Africa","PS_REPH","Homicide rate","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,9.6,,
"ZAF","South Africa","WL_EWLH","Employees working very long hours","L","Value","TOT","Total","PC","Percentage","0","Units",,,18.07,,
"ZAF","South Africa","WL_TNOW","Time devoted to leisure and personal care","L","Value","TOT","Total","HOUR","Hours","0","Units",,,14.73,,
"ZAF","South Africa","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,22.6,,
"ZAF","South Africa","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.6,"E","Estimated value"
"ZAF","South Africa","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,39.8,,
