"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0.1,,
"ESP","Spain","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,23,,
"ESP","Spain","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.9,,
"ESP","Spain","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,22007,,
"ESP","Spain","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,29819,,
"ESP","Spain","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,57,,
"ESP","Spain","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,12.92,,
"ESP","Spain","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,36013,,
"ESP","Spain","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,96,,
"ESP","Spain","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,57,,
"ESP","Spain","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,490,,
"ESP","Spain","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,17.7,,
"ESP","Spain","EQ_AIRP","Air pollution","L","Value","TOT","Total","MICRO_M3","Micrograms per cubic metre","0","Units",,,12,,
"ESP","Spain","EQ_WATER","Water quality","L","Value","TOT","Total","PC","Percentage","0","Units",,,71,,
"ESP","Spain","CG_VOTO","Voter turnout","L","Value","TOT","Total","PC","Percentage","0","Units",,,73,,
"ESP","Spain","HS_LEB","Life expectancy","L","Value","TOT","Total","YR","Years","0","Units",,,83.2,,
"ESP","Spain","HS_SFRH","Self-reported health","L","Value","TOT","Total","PC","Percentage","0","Units",,,72,,
"ESP","Spain","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,6.4,,
"ESP","Spain","PS_REPH","Homicide rate","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.6,,
"ESP","Spain","WL_EWLH","Employees working very long hours","L","Value","TOT","Total","PC","Percentage","0","Units",,,5.61,,
"ESP","Spain","WL_TNOW","Time devoted to leisure and personal care","L","Value","TOT","Total","HOUR","Hours","0","Units",,,15.93,,
"ESP","Spain","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,26.6,,
"ESP","Spain","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,1.6,,
"ESP","Spain","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,81.6,,
