"LOCATION","Country","INDICATOR","Indicator","MEASURE","Measure","INEQUALITY","Inequality","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHE","Switzerland","HO_BASE","Dwellings without basic facilities","L","Value","TOT","Total","PC","Percentage","0","Units",,,0,,
"CHE","Switzerland","HO_HISH","Housing expenditure","L","Value","TOT","Total","PC","Percentage","0","Units",,,22,,
"CHE","Switzerland","HO_NUMR","Rooms per person","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,1.8,,
"CHE","Switzerland","IW_HADI","Household net adjusted disposable income","L","Value","TOT","Total","USD","US Dollar","0","Units",,,35952,,
"CHE","Switzerland","IW_HNFW","Household net financial wealth","L","Value","TOT","Total","USD","US Dollar","0","Units",,,120265,,
"CHE","Switzerland","JE_EMPL","Employment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,80,,
"CHE","Switzerland","JE_LTUR","Long-term unemployment rate","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.71,,
"CHE","Switzerland","JE_PEARN","Personal earnings","L","Value","TOT","Total","USD","US Dollar","0","Units",,,57082,,
"CHE","Switzerland","SC_SNTWS","Quality of support network","L","Value","TOT","Total","PC","Percentage","0","Units",,,93,,
"CHE","Switzerland","ES_EDUA","Educational attainment","L","Value","TOT","Total","PC","Percentage","0","Units",,,88,,
"CHE","Switzerland","ES_STCS","Student skills","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,518,,
"CHE","Switzerland","ES_EDUEX","Years in education","L","Value","TOT","Total","YR","Years","0","Units",,,17.4,,
"CHE","Switzerland","EQ_AIRP","Air pollution","L","Value","TOT","Total","MICRO_M3","Micrograms per cubic metre","0","Units",,,17,,
"CHE","Switzerland","EQ_WATER","Water quality","L","Value","TOT","Total","PC","Percentage","0","Units",,,97,,
"CHE","Switzerland","CG_VOTO","Voter turnout","L","Value","TOT","Total","PC","Percentage","0","Units",,,48,,
"CHE","Switzerland","HS_LEB","Life expectancy","L","Value","TOT","Total","YR","Years","0","Units",,,82.9,,
"CHE","Switzerland","HS_SFRH","Self-reported health","L","Value","TOT","Total","PC","Percentage","0","Units",,,81,,
"CHE","Switzerland","SW_LIFS","Life satisfaction","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,7.6,,
"CHE","Switzerland","PS_REPH","Homicide rate","L","Value","TOT","Total","RATIO","Ratio","0","Units",,,0.5,,
"CHE","Switzerland","WL_EWLH","Employees working very long hours","L","Value","TOT","Total","PC","Percentage","0","Units",,,6.34,"E","Estimated value"
"CHE","Switzerland","WL_TNOW","Time devoted to leisure and personal care","L","Value","TOT","Total","HOUR","Hours","0","Units",,,15.01,"E","Estimated value"
"CHE","Switzerland","JE_LMIS","Labour market insecurity","L","Value","TOT","Total","PC","Percentage","0","Units",,,1.7,,
"CHE","Switzerland","CG_SENG","Stakeholder engagement for developing regulations","L","Value","TOT","Total","AVSCORE","Average score","0","Units",,,2.6,,
"CHE","Switzerland","PS_FSAFEN","Feeling safe walking alone at night","L","Value","TOT","Total","PC","Percentage","0","Units",,,87.4,,
