HO_BASE,HO_HISH,HO_NUMR,IW_HADI,IW_HNFW,JE_EMPL,JE_LTUR,JE_PEARN,SC_SNTWS,ES_EDUA,ES_STCS,ES_EDUEX,EQ_AIRP,EQ_WATER,CG_VOTO,HS_LEB,HS_SFRH,SW_LIFS,PS_REPH,WL_EWLH,WL_TNOW,JE_LMIS,CG_SENG,PS_FSAFEN
1.1,20,2.3,33138,48836,72,1.32,51148,95,77,512,19.2,6,94,93,82.2,85,7.3,0.8,13.39,14.35,3.9,2.7,62.6
1,21,1.6,31667,55623,71,1.53,45988,93,84,500,17.1,15,93,75,81.2,69,7.1,0.4,7.32,14.55,2.2,1.3,81.2
2.1,21,2.2,28700,89057,62,4.26,48093,88,74,509,18.8,19,83,89,80.7,74,6.9,1.1,4.73,15.77,3.6,2.2,69.6
0.2,21,2.5,30474,75775,72,0.89,48164,94,90,522,16.3,12,90,68,81.5,89,7.4,1.5,3.83,14.41,3.9,3,81.7
0.7,26,1.4,18953,20170,69,2.72,21185,90,93,500,17.4,17,88,59,78.3,60,6.6,0.9,5.99,15.03,4.7,2.6,70.1
0.5,25,1.9,26945,54839,73,1.66,49589,96,80,498,19.6,11,95,86,80.4,72,7.5,0.3,2.21,15.87,2.3,2.1,85.2
0.6,22,1.9,28238,24482,69,1.97,40742,94,87,529,19.7,7,94,69,81.1,65,7.4,1.5,3.6,15.17,2.6,2.3,85.8
0.5,21,1.8,29759,53851,64,4.21,40828,89,75,500,16.4,14,84,80,82.3,67,6.4,0.6,7.77,16.36,4.6,2.1,70.6
0,22,1.8,31925,49822,74,2.21,43872,92,87,515,18.1,15,94,72,80.9,65,7,0.5,4.96,15.55,2.7,2.1,74.6
0.5,26,1.2,18099,17568,49,19.47,26436,83,68,466,18.5,15,69,64,81.4,74,5.6,1.5,6.37,14.74,32,1.9,62.5
5.3,20,1.1,15614,17774,62,3.78,21399,82,83,487,17.2,16,76,62,75.7,57,5.3,1.2,3.76,15.04,7.8,1.2,53.2
0,24,1.6,27918,54275,82,0.67,56789,96,73,484,19.6,7,97,81,82.1,77,7.5,0.3,13.79,14.13,0.7,1.6,78.1
0.1,20,2,22969,31861,61,6.98,53286,95,79,516,17.8,8,82,70,81.1,82,6.8,0.8,4.11,15.3,5,0.8,77
0.8,24,1.4,25004,56833,57,7.79,34744,91,59,490,16.8,18,70,75,82.8,66,5.8,0.8,3.83,14.89,11.8,1.5,59.3
6.4,22,1.9,27323,92818,73,1.36,35672,91,94,540,16,16,87,53,83.4,35,5.9,0.3,21.89,14.85,2.4,1.3,70.2
4.2,16,1.4,19372,30852,65,0.01,36653,76,85,542,17.5,29,78,76,81.8,35,5.8,1.1,23.12,14.7,2.1,2.4,67.7
0.1,21,2,40914,64500,67,1.6,61511,93,82,490,15.1,15,85,91,81.9,72,6.7,0.2,3.27,15.17,2.1,1.5,70.6
4.2,22,1,12806,9856,60,0.06,12850,75,34,417,14.4,12,68,63,74.6,66,6.2,23.4,28.28,12.8,5.2,3.5,39.9
0,19,1.9,27759,71251,73,2.98,51003,88,76,519,17.9,17,94,75,81.4,76,7.3,0.8,0.44,15.9,3.1,1.3,80.5
0.3,23,2.4,23213,81271,74,0.78,45183,99,74,509,18,9,92,77,81.4,90,7.4,1.2,13.78,14.87,4.9,2.5,64.4
0,18,2,33393,16930,75,0.41,51718,93,82,496,18,6,97,78,81.8,76,7.6,1,3.05,15.56,1.5,1.9,89.6
3.1,22,1.1,17820,12902,62,3.26,23649,86,91,521,17.9,17,80,55,77.1,58,6,1,7.25,14.42,8.9,2.6,66.1
1,19,1.7,19882,29563,63,8.28,23977,85,43,488,17.4,10,89,56,80.8,46,5.1,0.9,9.77,14.72,11.7,1.2,69.2
1.3,25,1.1,18534,8896,61,8.8,22151,92,91,472,16.2,16,81,59,76.5,66,6.2,1.2,6.23,14.92,10.7,2.9,62.1
0.1,23,1.9,22007,29819,57,12.92,36013,96,57,490,17.7,12,71,73,83.2,72,6.4,0.6,5.61,15.93,26.6,1.6,81.6
0,20,1.8,28859,69899,75,1.33,40994,92,82,482,19.1,7,95,86,82,81,7.3,0.8,1.1,15.18,5.2,2,76.8
0,22,1.8,35952,120265,80,1.71,57082,93,88,518,17.4,17,97,48,82.9,81,7.6,0.5,6.34,15.01,1.7,2.6,87.4
7.6,21,1.1,13471,3886,50,2.04,15992,84,36,462,16.9,17,63,85,76.6,68,5.5,1.7,39.26,12.24,9.1,2.1,60.4
0.4,23,1.9,26687,69927,73,2.22,41659,93,79,502,16.7,11,87,66,81.1,74,6.5,0.2,12.83,14.87,5.7,2.9,77.8
0.1,19,2.4,41071,163268,68,1.42,57139,90,90,492,17.1,11,84,67,78.8,88,6.9,5.2,11.69,14.47,5.2,3.2,73.9
6.7,21,0.9,11487,7566,67,0.81,10229,90,46,402,15.6,17,73,79,75,70,6.5,26.7,9.45,14.27,6.6,1.3,39.5
9.4,18,1.2,15094,18172,62,1.67,21370,82,61,436,17.1,18,71,49,78.8,59,6.5,3.8,13.84,14.91,8.1,1.5,50.2
7.2,19,1.6,16565,15728,70,3.32,21020,90,91,526,17.8,9,84,64,77.3,53,5.6,4.8,3.29,14.9,7.6,2.8,67.2
4.4,21,1.2,22116,50051,68,0.63,29635,86,85,474,15.9,26,65,72,82.1,80,7.1,1.8,14.74,13.94,3.9,0.9,66.3
14.4,11,0.9,17006,3687,69,1.45,26977,91,95,481,16.1,14,49,65,70.7,39,6,11.3,0.18,14.91,5.1,0.8,52.9
0.6,19,1.5,19130,17271,64,5.27,33068,89,86,499,18.3,14,91,52,80.4,65,5.7,0.4,5.5,14.75,5.2,2.8,83.9
